iter	Passed	Remaining
0	58	58622
1	58	29431
2	59	19688
3	59	14832
4	59	11907
5	60	9958
6	60	8569
7	60	7520
8	60	6708
9	61	6071
10	61	5534
11	61	5091
12	62	4718
13	62	4395
14	62	4113
15	62	3868
16	63	3651
17	63	3457
18	63	3288
19	63	3132
20	64	2991
21	64	2867
22	64	2749
23	64	2642
24	65	2545
25	65	2454
26	65	2371
27	66	2293
28	66	2220
29	66	2152
30	66	2089
31	67	2028
32	67	1972
33	67	1919
34	67	1869
35	68	1824
36	68	1780
37	68	1741
38	69	1705
39	69	1667
40	69	1631
41	69	1596
42	70	1565
43	70	1534
44	70	1505
45	71	1476
46	71	1449
47	71	1422
48	71	1397
49	72	1372
50	72	1348
51	72	1326
52	72	1303
53	73	1282
54	73	1262
55	73	1242
56	74	1225
57	74	1208
58	74	1191
59	74	1173
60	75	1157
61	75	1140
62	75	1125
63	75	1109
64	76	1095
65	76	1081
66	76	1067
67	76	1053
68	77	1040
69	77	1027
70	77	1014
71	77	1002
72	78	991
73	78	979
74	78	970
75	78	959
76	79	949
77	79	938
78	79	928
79	79	918
80	80	909
81	80	899
82	80	889
83	80	880
84	81	872
85	81	863
86	81	855
87	81	847
88	82	839
89	82	831
90	82	824
91	82	816
92	83	809
93	83	802
94	83	796
95	84	791
96	84	785
97	84	778
98	84	772
99	85	765
100	85	759
101	85	753
102	85	747
103	86	741
104	86	736
105	86	731
106	86	725
107	87	720
108	87	714
109	87	709
110	87	704
111	88	700
112	88	695
113	88	690
114	89	686
115	89	682
116	89	677
117	90	672
118	90	668
119	90	663
120	90	658
121	90	654
122	91	650
123	91	646
124	91	642
125	92	638
126	92	633
127	92	629
128	92	625
129	92	621
130	93	618
131	93	614
132	93	610
133	93	607
134	94	603
135	94	600
136	94	597
137	95	593
138	95	590
139	95	587
140	95	584
141	96	580
142	96	577
143	96	574
144	96	571
145	97	568
146	97	565
147	97	562
148	97	559
149	98	556
150	98	553
151	98	550
152	99	548
153	99	545
154	99	542
155	99	539
156	100	536
157	100	534
158	100	531
159	100	529
160	101	526
161	101	524
162	101	521
163	101	519
164	102	517
165	102	514
166	102	512
167	103	510
168	103	507
169	103	505
170	103	503
171	104	501
172	104	499
173	104	497
174	104	494
175	105	492
176	105	490
177	105	488
178	106	486
179	106	484
180	106	482
181	106	480
182	107	478
183	107	476
184	107	474
185	107	472
186	108	470
187	108	468
188	108	466
189	108	464
190	109	462
191	109	460
192	109	458
193	110	457
194	110	455
195	110	453
196	110	451
197	111	449
198	111	448
199	111	446
200	111	444
201	112	443
202	112	441
203	112	439
204	112	438
205	113	436
206	113	435
207	113	433
208	114	431
209	114	430
210	114	428
211	114	426
212	115	425
213	115	424
214	115	422
215	116	421
216	116	419
217	116	418
218	116	416
219	117	415
220	117	413
221	117	412
222	117	410
223	118	409
224	118	407
225	118	406
226	118	405
227	119	403
228	119	402
229	119	401
230	120	399
231	120	398
232	120	397
233	120	395
234	121	395
235	121	393
236	121	392
237	122	391
238	122	390
239	122	388
240	123	387
241	123	386
242	123	385
243	123	384
244	124	382
245	124	381
246	124	380
247	125	379
248	125	377
249	125	376
250	125	375
251	126	374
252	126	373
253	126	372
254	126	370
255	127	369
256	127	368
257	127	367
258	128	366
259	128	365
260	128	364
261	128	362
262	129	361
263	129	360
264	129	359
265	129	358
266	130	357
267	130	355
268	130	354
269	130	354
270	131	352
271	131	351
272	131	350
273	131	349
274	132	348
275	132	347
276	132	346
277	133	345
278	133	344
279	133	343
280	133	342
281	134	341
282	134	340
283	134	339
284	134	338
285	135	337
286	135	336
287	135	335
288	136	334
289	136	333
290	136	332
291	137	332
292	137	331
293	137	330
294	137	329
295	138	328
296	138	327
297	138	326
298	139	326
299	139	325
300	139	324
301	139	323
302	140	322
303	140	321
304	140	320
305	141	319
306	141	318
307	141	318
308	141	317
309	142	316
310	142	315
311	142	314
312	142	313
313	143	312
314	143	311
315	143	311
316	143	310
317	144	309
318	144	308
319	144	307
320	145	306
321	145	306
322	145	305
323	145	304
324	146	303
325	146	302
326	146	301
327	146	301
328	147	300
329	147	299
330	147	298
331	148	297
332	148	296
333	148	296
334	148	295
335	149	294
336	149	293
337	149	292
338	149	292
339	150	291
340	150	290
341	150	289
342	150	289
343	151	288
344	151	287
345	151	286
346	151	285
347	152	285
348	152	284
349	152	283
350	153	282
351	153	282
352	153	281
353	153	280
354	154	279
